YearTerm,Subject,Number
2023-sp,AAS,100
2023-sp,AAS,100
2023-sp,AAS,200
2023-sp,AAS,215
2023-sp,ABE,141
2023-sp,ABE,152
2023-sp,ABE,232
2023-sp,ABE,425
2023-sp,ABE,457
2023-sp,ABE,498
2023-sp,ACCY,200
2023-sp,ACCY,200
2023-sp,ACCY,200
2023-sp,ACCY,201
2023-sp,ACCY,201
2023-sp,ACCY,201
2023-sp,ACCY,202
2023-sp,ACCY,202
2023-sp,ACCY,202
2023-sp,ACCY,301
2023-sp,ACCY,301
2023-sp,ACCY,301
2023-sp,ACCY,301
2023-sp,ACCY,301
2023-sp,ACCY,301
2023-sp,ACCY,302
2023-sp,ACCY,302
2023-sp,ACCY,302
2023-sp,ACCY,302
2023-sp,ACCY,302
2023-sp,ACCY,302
2023-sp,ACCY,303
2023-sp,ACCY,303
2023-sp,ACCY,303
2023-sp,ACCY,303
2023-sp,ACCY,303
2023-sp,ACCY,304
2023-sp,ACCY,304
2023-sp,ACCY,304
2023-sp,ACCY,304
2023-sp,ACCY,304
2023-sp,ACCY,312
2023-sp,ACCY,312
2023-sp,ACCY,312
2023-sp,ACCY,312
2023-sp,ACCY,312
2023-sp,ACCY,398
2023-sp,ACCY,405
2023-sp,ACCY,405
2023-sp,ACCY,405
2023-sp,ACCY,405
2023-sp,ACCY,410
2023-sp,ACCY,410
2023-sp,ACCY,410
2023-sp,ACCY,410
2023-sp,ACCY,451
2023-sp,ACCY,451
2023-sp,ACCY,451
2023-sp,ACCY,451
2023-sp,ACCY,500
2023-sp,ACCY,501
2023-sp,ACCY,501
2023-sp,ACCY,502
2023-sp,ACCY,502
2023-sp,ACCY,503
2023-sp,ACCY,503
2023-sp,ACCY,503
2023-sp,ACCY,503
2023-sp,ACCY,503
2023-sp,ACCY,506
2023-sp,ACCY,506
2023-sp,ACCY,507
2023-sp,ACCY,507
2023-sp,ACCY,510
2023-sp,ACCY,510
2023-sp,ACCY,510
2023-sp,ACCY,512
2023-sp,ACCY,512
2023-sp,ACCY,512
2023-sp,ACCY,515
2023-sp,ACCY,515
2023-sp,ACCY,515
2023-sp,ACCY,517
2023-sp,ACCY,517
2023-sp,ACCY,517
2023-sp,ACCY,517
2023-sp,ACCY,574
2023-sp,ACCY,574
2023-sp,ACCY,574
2023-sp,ACCY,575
2023-sp,ACCY,575
2023-sp,ACCY,575
2023-sp,ACCY,575
2023-sp,ACCY,575
2023-sp,ACCY,575
2023-sp,ACCY,576
2023-sp,ACCY,577
2023-sp,ACE,100
2023-sp,ACE,100
2023-sp,ACE,161
2023-sp,ACE,161
2023-sp,ACE,161
2023-sp,ACE,199
2023-sp,ACE,199
2023-sp,ACE,199
2023-sp,ACE,210
2023-sp,ACE,231
2023-sp,ACE,232
2023-sp,ACE,240
2023-sp,ACE,240
2023-sp,ACE,251
2023-sp,ACE,255
2023-sp,ACE,262
2023-sp,ACE,264
2023-sp,ACE,270
2023-sp,ACE,300
2023-sp,ACE,306
2023-sp,ACE,310
2023-sp,ACE,335
2023-sp,ACE,341
2023-sp,ACE,344
2023-sp,ACE,345
2023-sp,ACE,349
2023-sp,ACE,360
2023-sp,ACE,360
2023-sp,ACE,403
2023-sp,ACE,427
2023-sp,ACE,428
2023-sp,ACE,430
2023-sp,ACE,435
2023-sp,ACE,440
2023-sp,ACE,444
2023-sp,ACE,446
2023-sp,ACE,449
2023-sp,ACE,451
2023-sp,ACE,474
2023-sp,ACE,476
2023-sp,ACES,102
2023-sp,ADV,150
2023-sp,ADV,150
2023-sp,ADV,150
2023-sp,ADV,150
2023-sp,ADV,150
2023-sp,ADV,150
2023-sp,ADV,150
2023-sp,ADV,150
2023-sp,ADV,175
2023-sp,ADV,200
2023-sp,ADV,270
2023-sp,ADV,281
2023-sp,ADV,281
2023-sp,ADV,281
2023-sp,ADV,281
2023-sp,ADV,283
2023-sp,ADV,284
2023-sp,ADV,284
2023-sp,ADV,284
2023-sp,ADV,284
2023-sp,ADV,290
2023-sp,ADV,301
2023-sp,ADV,305
2023-sp,ADV,310
2023-sp,ADV,314
2023-sp,ADV,320
2023-sp,ADV,350
2023-sp,ADV,370
2023-sp,ADV,390
2023-sp,ADV,393
2023-sp,ADV,409
2023-sp,ADV,410
2023-sp,ADV,460
2023-sp,ADV,460
2023-sp,ADV,460
2023-sp,ADV,461
2023-sp,ADV,483
2023-sp,ADV,483
2023-sp,ADV,483
2023-sp,ADV,490
2023-sp,AE,140
2023-sp,AE,140
2023-sp,AE,202
2023-sp,AE,311
2023-sp,AE,312
2023-sp,AE,321
2023-sp,AE,323
2023-sp,AE,352
2023-sp,AE,353
2023-sp,AE,370
2023-sp,AE,419
2023-sp,AE,434
2023-sp,AE,435
2023-sp,AE,443
2023-sp,AE,443
2023-sp,AE,461
2023-sp,AE,498
2023-sp,AE,502
2023-sp,AE,504
2023-sp,AE,515
2023-sp,AFRO,100
2023-sp,AFRO,101
2023-sp,AFRO,132
2023-sp,AFRO,228
2023-sp,AFRO,378
2023-sp,AGCM,220
2023-sp,AGCM,420
2023-sp,AIS,285
2023-sp,AIS,285
2023-sp,ALEC,490
2023-sp,ALEC,491
2023-sp,ALEC,492
2023-sp,ANSC,100
2023-sp,ANSC,101
2023-sp,ANSC,205
2023-sp,ANSC,207
2023-sp,ANSC,210
2023-sp,ANSC,223
2023-sp,ANSC,224
2023-sp,ANSC,250
2023-sp,ANSC,250
2023-sp,ANSC,255
2023-sp,ANSC,256
2023-sp,ANSC,298
2023-sp,ANSC,305
2023-sp,ANSC,363
2023-sp,ANSC,406
2023-sp,ANSC,407
2023-sp,ANSC,409
2023-sp,ANSC,438
2023-sp,ANSC,446
2023-sp,ANSC,450
2023-sp,ANSC,464
2023-sp,ANSC,498
2023-sp,ANSC,499
2023-sp,ANSC,526
2023-sp,ANTH,101
2023-sp,ANTH,101
2023-sp,ANTH,101
2023-sp,ANTH,101
2023-sp,ANTH,101
2023-sp,ANTH,101
2023-sp,ANTH,101
2023-sp,ANTH,101
2023-sp,ANTH,101
2023-sp,ANTH,101
2023-sp,ANTH,103
2023-sp,ANTH,105
2023-sp,ANTH,209
2023-sp,ANTH,221
2023-sp,ANTH,246
2023-sp,ANTH,246
2023-sp,ANTH,268
2023-sp,ANTH,278
2023-sp,ANTH,288
2023-sp,ANTH,350
2023-sp,ANTH,462
2023-sp,ARCH,172
2023-sp,ARCH,232
2023-sp,ARCH,274
2023-sp,ARCH,403
2023-sp,ARCH,409
2023-sp,ARCH,416
2023-sp,ARCH,435
2023-sp,ARCH,468
2023-sp,ARCH,517
2023-sp,ARCH,537
2023-sp,ARCH,593
2023-sp,ARCH,595
2023-sp,ARCH,595
2023-sp,ARTD,218
2023-sp,ARTD,218
2023-sp,ARTD,302
2023-sp,ARTD,326
2023-sp,ARTD,326
2023-sp,ARTD,426
2023-sp,ARTE,101
2023-sp,ARTH,211
2023-sp,ARTH,242
2023-sp,ARTJ,209
2023-sp,ARTJ,299
2023-sp,ARTJ,299
2023-sp,ARTJ,302
2023-sp,ARTJ,397
2023-sp,ARTJ,398
2023-sp,ARTS,220
2023-sp,ARTS,351
2023-sp,ARTS,392
2023-sp,ASRM,210
2023-sp,ASRM,406
2023-sp,ASRM,409
2023-sp,ASRM,461
2023-sp,ASRM,472
2023-sp,ASTR,100
2023-sp,ASTR,100
2023-sp,ASTR,121
2023-sp,ASTR,122
2023-sp,ASTR,210
2023-sp,ASTR,310
2023-sp,ASTR,330
2023-sp,ASTR,405
2023-sp,ASTR,414
2023-sp,ATMS,100
2023-sp,ATMS,120
2023-sp,ATMS,140
2023-sp,ATMS,201
2023-sp,ATMS,306
2023-sp,ATMS,307
2023-sp,BADM,210
2023-sp,BADM,210
2023-sp,BADM,211
2023-sp,BADM,211
2023-sp,BADM,211
2023-sp,BADM,211
2023-sp,BADM,211
2023-sp,BADM,211
2023-sp,BADM,211
2023-sp,BADM,211
2023-sp,BADM,211
2023-sp,BADM,211
2023-sp,BADM,275
2023-sp,BADM,275
2023-sp,BADM,275
2023-sp,BADM,275
2023-sp,BADM,275
2023-sp,BADM,275
2023-sp,BADM,275
2023-sp,BADM,275
2023-sp,BADM,300
2023-sp,BADM,300
2023-sp,BADM,310
2023-sp,BADM,310
2023-sp,BADM,312
2023-sp,BADM,312
2023-sp,BADM,312
2023-sp,BADM,312
2023-sp,BADM,313
2023-sp,BADM,314
2023-sp,BADM,314
2023-sp,BADM,320
2023-sp,BADM,320
2023-sp,BADM,322
2023-sp,BADM,322
2023-sp,BADM,323
2023-sp,BADM,323
2023-sp,BADM,324
2023-sp,BADM,325
2023-sp,BADM,325
2023-sp,BADM,335
2023-sp,BADM,337
2023-sp,BADM,338
2023-sp,BADM,340
2023-sp,BADM,340
2023-sp,BADM,340
2023-sp,BADM,346
2023-sp,BADM,350
2023-sp,BADM,350
2023-sp,BADM,350
2023-sp,BADM,351
2023-sp,BADM,351
2023-sp,BADM,352
2023-sp,BADM,352
2023-sp,BADM,352
2023-sp,BADM,353
2023-sp,BADM,356
2023-sp,BADM,359
2023-sp,BADM,374
2023-sp,BADM,374
2023-sp,BADM,375
2023-sp,BADM,375
2023-sp,BADM,378
2023-sp,BADM,379
2023-sp,BADM,380
2023-sp,BADM,380
2023-sp,BADM,381
2023-sp,BADM,381
2023-sp,BADM,382
2023-sp,BADM,403
2023-sp,BADM,420
2023-sp,BADM,420
2023-sp,BADM,445
2023-sp,BADM,446
2023-sp,BADM,449
2023-sp,BADM,449
2023-sp,BADM,449
2023-sp,BADM,449
2023-sp,BADM,449
2023-sp,BADM,449
2023-sp,BADM,449
2023-sp,BADM,449
2023-sp,BADM,449
2023-sp,BADM,449
2023-sp,BADM,458
2023-sp,BADM,508
2023-sp,BADM,508
2023-sp,BADM,509
2023-sp,BADM,509
2023-sp,BADM,520
2023-sp,BADM,520
2023-sp,BADM,543
2023-sp,BADM,544
